dst,dst_ip,num_ports,num_connections,num_syn,num_rst
175636512,10.120.0.32,222,2800,161,78
3232236951,192.168.5.151,593,28464,153,78
175702031,10.121.0.15,16,32404,481,77
2886745225,172.16.60.137,1064,23634,22632,75
2886747785,172.16.70.137,1184,25363,22749,74
169088015,10.20.20.15,1009,6485,3395,74
169088101,10.20.20.101,1100,13986,2194,73
175753227,10.121.200.11,410,8483,72,73
1249713853,74.125.30.189,1,16970,66,73
175753256,10.121.200.40,125,1828,45,71
173035525,10.80.80.5,5687,30442,14367,70
172377805,10.70.70.205,990,13323,1846,69
168430285,10.10.10.205,345,15513,923,68
171719700,10.60.60.20,1099,494472,1432,66
171061775,10.50.50.15,821,6462,1276,65
2886734850,172.16.20.2,1000,8008,7942,64
3232250724,192.168.59.100,1270,200916,741,64
3232236950,192.168.5.150,97,2350,29,64
3090404811,184.51.213.203,1,1161,40,63
168430095,10.10.10.15,1061,4294,1582,62
172377707,10.70.70.107,1102,11263,1316,62
171061965,10.50.50.205,1001,11022,2649,61
169745935,10.30.30.15,995,3927,1455,59
169746125,10.30.30.205,105,3769,492,59
2886752905,172.16.90.137,1178,24064,21501,58
2886737545,172.16.30.137,1144,11620,9552,57
171719695,10.60.60.15,1010,13553,4654,56
2886732425,172.16.10.137,1326,54293,50750,54
169088020,10.20.20.20,1034,6746,2279,54
175753222,10.121.200.6,179,5521,48,54
172377709,10.70.70.109,984,2674,2252,53
175753251,10.121.200.35,156,3841,124,52
2886735051,172.16.20.203,1036,5292,4209,51
170403855,10.40.40.15,818,3955,1257,50
2886732289,172.16.10.1,1000,50239,50138,49
175636489,10.120.0.9,16,4056876,164,49
173035720,10.80.80.200,4979,13845,13471,48
1572394952,93.184.215.200,2,10458,201,48
173693455,10.90.90.15,1049,20764,1453,46
182331671,10.222.41.23,1730,60184,1310,46
175753250,10.121.200.34,1181,27585,735,45
3232248417,192.168.50.97,1373,86012,1304,44
175636578,10.120.0.98,310,18542,160,44
2886737611,172.16.30.203,142,2000,527,42
168430183,10.10.10.103,313,1903593,498,41
170403948,10.40.40.108,65,2152,62,40
172377706,10.70.70.106,1032,267076,2043,39
169088205,10.20.20.205,1001,5148,1388,39
169746120,10.30.30.200,104,681,356,39
169745940,10.30.30.20,543,516145,1336,37
171719789,10.60.60.109,992,4910,2318,36
3627735747,216.58.218.195,6,4792,160,36
3629628425,216.87.188.9,1,3567,5,36
3327301748,198.82.152.116,1,2001,7,34
173035771,10.80.80.251,1000,6369,5207,33
2886747649,172.16.70.1,1001,22236,22162,32
170404045,10.40.40.205,101,9050,464,32
2886752769,172.16.90.1,1001,21195,21129,30
2886747650,172.16.70.2,1001,5483,5434,30
169088100,10.20.20.100,1048,5501,1155,30
2886742665,172.16.50.137,1161,23764,21571,28
168430100,10.10.10.20,317,44874,816,28
168820738,10.16.0.2,2643,20562,2812,27
172377710,10.70.70.110,983,4729,2314,27
2886752971,172.16.90.203,137,1662,467,27
2886734985,172.16.20.137,1146,26211,24209,26
172377800,10.70.70.200,981,3013,2338,26
